conformer_id,conformer_index,dft_energy_hartree,relative_energy_kj_mol,gibbs_energy_hartree,relative_gibbs_energy_kj_mol,frequency_calculated,electronic_boltzmann_weight,conditional_gibbs_boltzmann_weight,common_scaffold_unique_electronic_weight,common_scaffold_unique_conditional_gibbs_weight,structure.carbonyl_c_o_length_angstrom,structure.amide_c_n_length_angstrom,structure.benzoyl_carbonyl_torsion_abs_mean_deg,structure.amide_n_planarity_torsion_abs_mean_deg,structure.aryl_c_si_length_angstrom,steric_access.overall_accessible_fraction,steric_access.best_clearance_angstrom,steric_access.mean_clearance_angstrom,steric_access.clearance_percentiles_angstrom.p90,steric_access.minimum_terminal_tms_distance_from_carbonyl_c_angstrom,steric_access.silicon_distance_from_carbonyl_c_angstrom,steric_access.terminal_tms_heavy_atoms_within_5_angstrom,steric_access.face_summary.face_positive.accessible_fraction,steric_access.face_summary.face_negative.accessible_fraction,electronic.mulliken_charge_carbonyl_c,electronic.loewdin_charge_carbonyl_c,electronic.loewdin_charge_carbonyl_o,electronic.mbis_charge_carbonyl_c,electronic.mbis_charge_carbonyl_o,electronic.chelpg_charge_carbonyl_c,electronic.chelpg_charge_carbonyl_o,electronic.mayer_bond_order_c_o,electronic.mayer_bond_order_c_n,electronic.dipole_magnitude_debye,electronic.homo_energy_ev,electronic.lumo_energy_ev,electronic.homo_lumo_gap_ev,electronic.homo_loewdin_population_benzoyl_center,electronic.lumo_loewdin_population_benzoyl_center,carbonyl_stretch.frequency_cm1
conf002,1,-1767.60519964422,0.0,-1767.05772569,0.0,True,0.24762692159339725,0.253216799692796,0.37203440259503684,0.38093030691752916,1.2156678921789166,1.4026581986066307,40.60426743434709,13.87498028835433,1.9048208229096921,0.1527777777777778,0.28297935348617576,-0.6996345842275685,0.08824043400609591,6.248761617612987,6.248761617612987,0.0,0.1388888888888889,0.16666666666666666,0.199901,0.098995,-0.167011,0.647371,-0.511092,0.526147,-0.483492,2.0874,1.0376,4.835491627,-5.5576,-1.5221,4.0355,0.09234,0.44225,1777.2780041735318
conf007,6,-1767.604816415424,1.006167065615536,-1767.05738454,0.8956892024484912,True,0.16501560470348847,0.1764308621559445,0.24791925498119202,,1.2157696641276097,1.4017446615966394,40.577784105070876,14.20211602492925,1.9046087978417912,0.1527777777777778,0.2821908588366673,-0.7000636132793356,0.08770184633410127,6.248813424084836,6.248813424084836,0.0,0.16666666666666666,0.1388888888888889,0.199723,0.098306,-0.167688,0.646563,-0.511578,0.540896,-0.487223,2.0869,1.0401,6.218844518,-5.4691,-1.4626,4.0065,0.095566,0.44145100000000004,1776.826520880276
conf005,4,-1767.604813101043,1.014868971859398,-1767.05728535,1.1561125114279915,True,0.1644373643648094,0.1588365211567278,,,1.215846896573199,1.4017710231404572,40.50358278609825,13.793186817365724,1.9044897281817528,0.1527777777777778,0.28229727662970405,-0.6989978867827777,0.08777179606949717,6.247499734594563,6.247499734594563,0.0,0.1388888888888889,0.16666666666666666,0.199637,0.098359,-0.167705,0.646413,-0.511505,0.513053,-0.479278,2.0859,1.0406,6.523306437,-5.4705,-1.4644,4.0061,0.09535999999999999,0.442871,1776.4095909890782
conf004,3,-1767.604784157697,1.090859716410439,-1767.0574961,0.6027884625360301,True,0.159473125034821,0.19855852862123913,0.2395922398926887,0.2987043566641107,1.2158083219956566,1.4016452814291789,41.02117595655121,13.791451772627752,1.9043796171445202,0.1527777777777778,0.2821492153170817,-0.70232743590203,0.08767200844786652,6.247971803914343,6.247971803914343,0.0,0.1388888888888889,0.16666666666666666,0.199313,0.098258,-0.167555,0.646633,-0.51141,0.512237,-0.482385,2.0868,1.0403,6.518542225,-5.4718,-1.4596,4.0122,0.095406,0.44081000000000004,1776.651270788419
conf006,5,-1767.604782588891,1.0949786155472012,-1767.05748103,0.6423547421493561,True,0.15920837323991502,0.1954145215317992,,0.29397462472300634,1.2157932727577758,1.4018487498191934,40.49883273123643,14.363359595755504,1.904671370793279,0.1527777777777778,0.28229617590521516,-0.6999931112561928,0.08777322932872811,6.248641697147102,6.248641697147102,0.0,0.16666666666666666,0.1388888888888889,0.19943,0.098287,-0.167618,0.646607,-0.511522,0.541031,-0.486945,2.0872,1.0398,6.158762322,-5.4677,-1.4636,4.004099999999999,0.095615,0.441626,1776.786468486474
conf003,2,-1767.602462433349,7.186546154777826,-1767.05520509,6.617834391339706,True,0.013638589061918822,0.017542766841493338,0.02049060054230173,0.026390711695353716,1.214669128342864,1.4101006143280943,38.10423812748979,21.596597924548263,1.9051092177385858,0.1527777777777778,0.3187219122499425,-0.7000885044088212,0.09291818546262501,6.23886426950915,6.23886426950915,0.0,0.1111111111111111,0.19444444444444445,0.188759,0.100197,-0.165092,,,,,2.1053,1.0211,3.050956793,-5.5595,-1.5943,3.9652,,,1778.5090999530048
conf011,10,-1767.602237899761,7.776059009523506,,,False,0.010752049626416096,,,,1.214971467600777,1.4092993013892716,37.99447937361718,21.524973072071077,1.9046891400466475,0.1527777777777778,0.321759431943603,-0.7007043956352237,0.09260759765565804,6.239498815420008,6.239498815420008,0.0,0.1111111111111111,0.19444444444444445,0.188285,0.099794,-0.166611,,,,,2.104,1.0237,2.109598813,-5.4737,-1.5323,3.9414,,,
conf010,9,-1767.602219801419,7.823576199388468,,,False,0.010547914692169971,,0.01584717491892248,,1.2149584269988078,1.4091319581041013,38.70197719180918,21.383134358159936,1.9047079765948756,0.1527777777777778,0.320254685179558,-0.7033767063480835,0.09245249501717914,6.238990390980237,6.238990390980237,0.0,0.1111111111111111,0.19444444444444445,0.187813,0.099751,-0.166606,,,,,2.1036,1.0241,2.084472017,-5.4749,-1.5248,3.9501,,,
conf009,8,-1767.602203900568,7.8653238783956825,,,False,0.010371766520728014,,0.015582530108459492,,1.2149970485365864,1.4092258112697285,37.81781615338599,21.791880467889897,1.9047192601904963,0.1527777777777778,0.3220740977558878,-0.6993366601852024,0.09254753318684249,6.2387238059234855,6.2387238059234855,0.0,0.19444444444444445,0.1111111111111111,0.188673,0.099853,-0.16668,,,,,2.1031,1.0242,3.332406126,-5.4896,-1.534,3.9556000000000004,,,
conf008,7,-1767.602183402846,7.919140639682441,,,False,0.010149027823429418,,0.015247887745460102,,1.2149254687335858,1.4093423509490948,38.164041172075684,21.838404097872512,1.904754162971092,0.1527777777777778,0.32253836633957733,-0.7019270223465983,0.09257343103150727,6.238728344842051,6.238728344842051,0.0,0.19444444444444445,0.1111111111111111,0.188096,0.099797,-0.166447,,,,,2.1043,1.0234,3.342950108,-5.4888,-1.5308,3.958,,,
