condition,pair_id,bz_conformer_id,sb_conformer_id,metric,bz,sb,sb_minus_bz
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mbis_charge_carbonyl_c,0.679042,0.674116,-0.004925999999999986
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mbis_charge_carbonyl_o,-0.587665,-0.587299,0.00036599999999997745
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mbis_charge_amide_n,-0.227197,-0.22604,0.0011570000000000191
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,chelpg_charge_carbonyl_c,0.501124,0.480587,-0.020537000000000027
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,chelpg_charge_carbonyl_o,-0.57433,-0.569132,0.005198000000000036
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,chelpg_charge_amide_n,-0.009163,-0.009337,-0.00017400000000000054
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,loewdin_charge_carbonyl_c,-0.327101,-0.326926,0.00017499999999998073
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,loewdin_charge_carbonyl_o,0.082804,0.082196,-0.0006079999999999974
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,loewdin_charge_amide_n,0.301027,0.301088,6.100000000003325e-05
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mulliken_charge_carbonyl_c,0.298993,0.294791,-0.0042019999999999835
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mulliken_charge_carbonyl_o,-0.39326,-0.394197,-0.0009370000000000211
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mulliken_charge_amide_n,-0.008356,-0.00802,0.00033600000000000123
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mayer_bond_order_c_o,1.9515,1.9527,0.0012000000000000899
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,mayer_bond_order_c_n,1.1007,1.1015,0.0007999999999999119
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,homo_energy_ev,-5.7535,-5.7499,0.0035999999999996035
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,lumo_energy_ev,-1.6683,-1.712,-0.04370000000000007
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,homo_lumo_gap_ev,4.0852,4.0379000000000005,-0.0472999999999999
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,homo_loewdin_population_benzoyl_center,0.086033,0.086135,0.00010200000000000486
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,lumo_loewdin_population_benzoyl_center,0.475033,0.456935,-0.018098000000000003
b3lyp_d3bj_def2_tzvp_cpcm_water,pair001,conf003,conf005,dipole_magnitude_debye,10.155773427,10.337650516,0.18187708900000032
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mbis_charge_carbonyl_c,0.678955,0.674223,-0.0047319999999999585
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mbis_charge_carbonyl_o,-0.587135,-0.586763,0.00037199999999992794
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mbis_charge_amide_n,-0.226976,-0.226186,0.0007900000000000129
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,chelpg_charge_carbonyl_c,0.496981,0.489542,-0.007439000000000029
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,chelpg_charge_carbonyl_o,-0.572252,-0.573861,-0.0016089999999999716
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,chelpg_charge_amide_n,-0.017436,-0.025721,-0.008285
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,loewdin_charge_carbonyl_c,-0.326547,-0.326543,3.999999999948489e-06
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,loewdin_charge_carbonyl_o,0.083273,0.08282,-0.0004529999999999951
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,loewdin_charge_amide_n,0.301223,0.301109,-0.00011400000000000299
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mulliken_charge_carbonyl_c,0.299989,0.294772,-0.005217000000000027
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mulliken_charge_carbonyl_o,-0.39327,-0.393271,-9.999999999732445e-07
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mulliken_charge_amide_n,-0.008846,-0.008737,0.00010899999999999972
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mayer_bond_order_c_o,1.9507,1.9545,0.0037999999999998035
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,mayer_bond_order_c_n,1.0995,1.0994,-9.999999999998899e-05
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,homo_energy_ev,-5.7545,-5.7562,-0.0016999999999995907
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,lumo_energy_ev,-1.6689,-1.7218,-0.05289999999999995
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,homo_lumo_gap_ev,4.0856,4.0344,-0.05120000000000058
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,homo_loewdin_population_benzoyl_center,0.08372800000000001,0.084828,0.0010999999999999899
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,lumo_loewdin_population_benzoyl_center,0.474422,0.456129,-0.018293000000000004
b3lyp_d3bj_def2_tzvp_cpcm_water,pair002,conf008,conf002,dipole_magnitude_debye,6.55883116,7.348966554,0.790135394
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mbis_charge_carbonyl_c,0.650324,0.646413,-0.003910999999999998
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mbis_charge_carbonyl_o,-0.511576,-0.511505,7.100000000004325e-05
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mbis_charge_amide_n,-0.237932,-0.236989,0.0009429999999999994
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,chelpg_charge_carbonyl_c,0.524622,0.513053,-0.011569000000000051
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,chelpg_charge_carbonyl_o,-0.482118,-0.479278,0.002840000000000009
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,chelpg_charge_amide_n,-0.08081,-0.077967,0.002843000000000012
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,loewdin_charge_carbonyl_c,0.098248,0.098358,0.00010999999999999899
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,loewdin_charge_carbonyl_o,-0.167129,-0.167706,-0.0005769999999999942
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,loewdin_charge_amide_n,0.021373,0.021622,0.0002489999999999992
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mulliken_charge_carbonyl_c,0.199336,0.199636,0.0002999999999999947
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mulliken_charge_carbonyl_o,-0.214775,-0.215765,-0.0009900000000000186
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mulliken_charge_amide_n,-0.189962,-0.189142,0.0008199999999999874
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mayer_bond_order_c_o,2.0874,2.0859,-0.0015000000000000568
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,mayer_bond_order_c_n,1.0412,1.0406,-0.0005999999999999339
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,homo_energy_ev,-5.4953,-5.4705,0.024799999999999933
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,lumo_energy_ev,-1.4316,-1.4644,-0.03279999999999994
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,homo_lumo_gap_ev,4.063700000000001,4.0061,-0.05760000000000076
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,homo_loewdin_population_benzoyl_center,0.094941,0.09535999999999999,0.0004189999999999888
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,lumo_loewdin_population_benzoyl_center,0.463233,0.442871,-0.02036199999999999
baseline_b3lyp_def2_svp_gas,pair001,conf003,conf005,dipole_magnitude_debye,6.347988207,6.523355174,0.17536696699999954
