molecule,conformer_id,pool_index,common_scaffold_cluster,common_scaffold_representative,relative_electronic_energy_kj_mol,electronic_weight_if_representative,total_mean_clearance_probe_0_5_angstrom,total_top_decile_clearance_probe_0_5_angstrom,total_positive_clearance_integral_probe_0_5_angstrom,nonlocal_mean_clearance_probe_0_5_angstrom,nonlocal_top_decile_clearance_probe_0_5_angstrom,re_nonlocal_mean_clearance_probe_0_5_angstrom,si_nonlocal_mean_clearance_probe_0_5_angstrom,para_substituent_limiter_fraction,direct_para_substituent_nonlocal_integral_delta_angstrom,direct_para_substituent_total_mean_clearance_delta_angstrom,direct_para_substituent_nonlocal_environment_mean_clearance_delta_angstrom,re_minus_si_nonlocal_mean_clearance_angstrom,minimum_para_substituent_distance_from_carbonyl_c_angstrom,carbonyl_c_o_length_angstrom,amide_c_n_length_angstrom,mayer_bond_order_c_o,mayer_bond_order_c_n,loewdin_charge_carbonyl_c,loewdin_charge_carbonyl_o,loewdin_charge_amide_n,dipole_magnitude_debye,homo_lumo_gap_ev,benzoyl_carbonyl_torsion_abs_mean_deg
1Bz-LSD_RR,conf001,144,dft_core_cluster_001,True,0.0,0.3676052634577931,-0.8230242299810779,0.07250584921872877,0.007325573092887236,-0.692358594409644,0.2970790130546838,-0.7220575898484114,-0.6626595989708766,,,,,-0.059397990877534834,,1.215587736508215,1.4020641692686606,2.0873,1.0394,0.098881,-0.166692,0.021542,4.563243231,4.0947,40.55813408220206
1Bz-LSD_RR,conf004,104,dft_core_cluster_002,True,0.8502530428979248,0.2608698164472955,-0.823421871065579,0.07291522625514621,0.007363039907587608,-0.6938815020401261,0.2946288015997603,-0.6669719083203544,-0.720791095759898,,,,,0.053819187439543614,,1.2157473916821722,1.40135718011957,2.0871,1.0415,0.098206,-0.167396,0.021418,6.029674719,4.0646,40.16731883321338
1Bz-LSD_RR,conf003,125,dft_core_cluster_003,True,0.9881004169948056,0.24675957723399672,-0.8224249879441021,0.07250490744811754,0.007326138507830189,-0.6928164225759007,0.29454179293870825,-0.7165009316652656,-0.6691319134865358,,,,,-0.04736901817872985,,1.2156664988714008,1.401543392380107,2.0874,1.0412,0.09825,-0.167133,0.02138,6.348032605,4.063700000000001,40.11630978172664
1Bz-LSD_RR,conf008,73,dft_core_cluster_004,True,4.7848570955174425,0.05334712577974775,-0.8233572956688561,0.07233674462420678,0.007309870230581208,-0.6919848178939586,0.2979704315732177,-0.7225814460625476,-0.6613881897253695,,,,,-0.06119325633717809,,1.2155853701506092,1.4021517108721329,2.0869,1.0392,0.098999,-0.166737,0.021599,4.219283754,4.0949,40.65062349338317
1Bz-LSD_RR,conf002,176,dft_core_cluster_005,True,7.338473022961301,0.01904306591608168,-0.8371563986051421,0.07351767345407034,0.007466404466647115,-0.7361734320984857,0.25734546426274346,-0.7343831358505923,-0.7379538098076097,,,,,0.0035706739570173784,,1.214523330333754,1.4096705640431753,2.1066,1.0218,0.100132,-0.164234,0.014123,4.552163375,4.0282,37.50948563819293
1Bz-LSD_RR,conf007,88,dft_core_cluster_006,True,7.629594671973331,0.01693302557776127,-0.8274059152649411,0.07304694425926957,0.007423364512196247,-0.7201647262050821,0.25910394390557534,-0.7041564996095974,-0.7362621351214328,,,,,0.03210563551183543,,1.2147883897789353,1.4088871473508362,2.1046,1.0248,0.099753,-0.16602,0.014174,2.530744146,3.9955,37.66461737785771
1Bz-LSD_RR,conf006,130,dft_core_cluster_007,True,7.680490980248881,0.016588912520491158,-0.8275155688067476,0.07321525299226332,0.007438001429316258,-0.7203611176879786,0.259086343233235,-0.7029069140336704,-0.7379125592456535,,,,,0.035005645211983016,,1.2147788078645996,1.4088910288045942,2.105,1.0245,0.09973,-0.165963,0.014168,2.525766627,3.9943999999999997,37.51751749732111
1Bz-LSD_RR,conf005,164,dft_core_cluster_008,True,7.786337042409537,0.015895510824808334,-0.8377304274247036,0.07307293478659223,0.007425050359363125,-0.7373339413153573,0.25613073693913424,-0.7337347727624074,-0.7409131698763242,,,,,0.007178397113916768,,1.2147652630313512,1.4089223420080625,2.1046,1.025,0.099744,-0.165917,0.013947,3.52442119,4.009799999999999,37.68221549710256
1Bz-LSD_RR,conf009,195,dft_core_cluster_009,True,11.955010762648474,0.0029577022420244304,-0.8267312942414945,0.07290417109259588,0.007408379760147909,-0.7201547882070385,0.25742836045929374,-0.7084108669737702,-0.731964135185339,,,,,0.02355326821156878,,1.2145082911107554,1.4097594637851414,2.1068,1.0219,0.100178,-0.164242,0.014277,3.059769064,4.0161,37.81313958397219
1pMeBz-LSD_RR,conf001,192,dft_core_cluster_001,True,0.0,0.3913544961523465,-0.81711732625567,0.0775161127446745,0.007783698847713858,-0.6851294839611582,0.30096639219813137,-0.7099180417310045,-0.660340926191312,0.0,0.0,0.0,-0.0014392114481657226,-0.04957711553969246,5.839980517233064,1.2159217244880347,1.4038366954729853,2.0881,1.0343,0.099079,-0.168526,0.021097,5.027811135,4.12,38.62790790589415
1pMeBz-LSD_RR,conf002,49,dft_core_cluster_002,True,0.8228336426297616,0.2808122894334297,-0.8187937590374994,0.07733341442734776,0.007767401330036985,-0.6879686370782064,0.29893125558985745,-0.6610644641551899,-0.7148728100012229,0.0,0.0,0.0,-0.0015828042092371764,0.053808345846033,5.840864986564921,1.2160193744210492,1.4029360554627186,2.0876,1.0371,0.098367,-0.169228,0.021037,6.178897363,4.0956,38.80278299006599
1pMeBz-LSD_RR,conf004,18,dft_core_cluster_003,True,2.8605351678748625,0.123431568604962,-0.8175465909758335,0.07648700659192513,0.007687857798838287,-0.6840761168948623,0.301536624475721,-0.7112652331600146,-0.6568870006297101,0.0,0.0,0.0,-0.00027898728338748846,-0.05437823253030449,5.84097285233813,1.2158746479430833,1.4037583500525384,2.0881,1.0346,0.099006,-0.168514,0.021154,5.010201618,4.1222,38.88926894133813
1pMeBz-LSD_RR,conf007,40,dft_core_cluster_004,True,3.9151356264787283,0.08066186168416171,-0.8184380667390702,0.07776764545106404,0.007807793301135706,-0.686776436341697,0.3006167211469596,-0.6581881165835275,-0.7153647560998665,0.0,0.0,0.0,-0.0015105421182575185,0.057176639516339,5.841112347461074,1.215959739983353,1.4030083122573918,2.0874,1.0371,0.098384,-0.169208,0.020974,6.214132128,4.0962,38.81087365939263
1pMeBz-LSD_RR,conf009,85,dft_core_cluster_005,True,4.644946622279125,0.06009120135687083,-0.8180159048839959,0.0779862677285185,0.007829035560078405,-0.6869110237919597,0.2978276864347038,-0.6611241789676009,-0.7126978686163185,0.0,0.0,0.0,-0.0014262930803252694,0.05157368964871756,5.8398992684592175,1.2158866332716012,1.4038971749295717,2.0886,1.0338,0.099112,-0.168691,0.020997,3.473719058,4.1167,38.33793321008566
1pMeBz-LSD_RR,conf005,12,dft_core_cluster_006,True,7.520098860650672,0.018841089264851545,-0.8214896769820641,0.07664207387890937,0.00772899058598041,-0.7130405599177044,0.2649456188137566,-0.6983264796437569,-0.7278366127837074,0.0,0.0,0.0,-0.0013900316794200895,0.029510133139950434,5.830912178182598,1.2152180486670168,1.410620616196539,2.1049,1.0204,0.099761,-0.16812,0.013826,1.914066516,4.0244,36.159248638649615
1pMeBz-LSD_RR,conf003,115,dft_core_cluster_007,True,7.65108782584682,0.017871365349408433,-0.8337208109268429,0.07539698384762152,0.0076173387127877025,-0.7319047162327803,0.2607651931892446,-0.7255857925225844,-0.7381886320553849,0.0,0.0,0.0,-0.0013349632856768379,0.012602839532800503,5.831311095081361,1.2152108097624332,1.4104019952921887,2.1048,1.0208,0.099708,-0.168128,0.01374,3.329617682,4.049300000000001,36.848956267296884
1pMeBz-LSD_RR,conf006,8,dft_core_cluster_008,True,7.716939623048433,0.01740287487169294,-0.8214427217618101,0.07617925192824247,0.007683066685553937,-0.7125429390277795,0.26505970921689465,-0.7017409257101445,-0.723405130692588,0.0,0.0,0.0,-0.0012506109485945771,0.02166420498244359,5.831297820699011,1.215301221250704,1.4104315678684054,2.1041,1.0208,0.099762,-0.168346,0.01386,1.928384318,4.0293,36.59266608320869
1pMeBz-LSD_RR,conf008,32,dft_core_cluster_009,True,10.650903329234547,0.0053285960037630755,-0.8327799365273827,0.07619364465906224,0.0076872840935466626,-0.7314228144758869,0.25946308231721177,-0.7264775266783176,-0.7363407045571261,0.0,0.0,0.0,-0.0012525599067877424,0.009863177878808527,5.831353738867377,1.2150345150849506,1.410763607249214,2.1063,1.0199,0.099734,-0.167678,0.013641,3.325215446,4.0402,36.350951932224675
1pMeBz-LSD_RR,conf010,37,dft_core_cluster_010,True,11.238155861636237,0.0042046572785133015,-0.8210965686480359,0.07608326067732715,0.007671899561096704,-0.7139974858795295,0.2618950710537625,-0.7060042116891526,-0.7220352908453405,0.0,0.0,0.0,-0.0014476569666072026,0.016031079156187844,5.830869122757628,1.2148794182138836,1.4113025225860216,2.1073,1.0177,0.100097,-0.166456,0.013961,3.138448404,4.0435,36.605203228765326
